Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
BzK4Q11,k4z1Y6,4/22/2025 15:15,rec2FCxHhqXw6aKRU,6,,,Yes,Yes,Yes,Yes,Unlocking my phone,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,N/A
b59V45Z,AY9GMk,4/22/2025 15:18,recQcLWbPcep18Wdw,10,,,Yes,Yes,No,No,Response team always on time,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Would like to upgrade once I'm done with this loan
GxKvYKO,eGz8Ek,4/22/2025 15:31,recei9UEU0e5F9HuG,5,,,No,No,No,Yes,"I bought a Samsung A42 which has fingerprint lock that doesn't work since I bought it from Mophones, I took it back and it's wasn't fixed.. Then the Phone has an on and Off network issues",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Good service and efficient response
A7KP49z,LjOx7j,4/22/2025 15:40,recosDWAJvWzAKgLv,1,,,No,No,Yes,Yes,Delays,Yes,"Yes, but I am not satisfied with the MoApp",,,
81zo6pr,7YE0RR,4/22/2025 15:40,recTJng0Mj0dJP1kv,1,,,No,No,Yes,Yes,Not satisfied with my phone,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,Not satisfied with my phone
xXjxR5J,RQjeLp,4/22/2025 15:41,recPKFOtpkS0z9Kpp,10,,,Yes,Yes,No,No,.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,.
GxKvQ6L,ljz2Mo,4/22/2025 15:41,rechy4Nf0Ihxrdy85,10,,,,,,,,,,,,
rjBykB2,k4zjvo,4/22/2025 15:42,recayIesPKGAMilkX,0,,,,,,,,,,,,
5B4KeaM,k4zjZJ,4/22/2025 15:42,rec86PnPzgTEunR4Q,9,,,No,No,Yes,Yes,There is a lot to be,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,None
5B4Kp16,rQY9pN,4/22/2025 15:44,recJKsUBTzHl4IGK3,10,,,Yes,Yes,Yes,"No, I have never looked for customer care",N/A,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,N/A
eqDZYBO,AY9RGD,4/22/2025 15:44,recUmt3DbYL0gb025,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,None
aQeNaYv,yRD5Dg,4/22/2025 15:44,recVOllpG6mFoGtaV,8,,,No,Yes,No,No,Battery can't store charge I need a replaced of battery,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Kindly exchange my battery
dWNqK2d,gVzV5M,4/22/2025 15:44,reciMIpVjO2lBzHt8,7,,,Yes,Yes,Yes,No,Payment terms are harsh,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,You need to check on payment terms
WOr9jYJ,AY9RN0,4/22/2025 15:45,receJwqtM49LS8gE8,10,,,Yes,Yes,Yes,"No, I have never looked for customer care",No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Am happy for your service
zxNX1Q8,4YO00O,4/22/2025 15:45,recB2N3ejw9jeBo4l,0,,,No,No,Yes,Yes,My phone is not working despite payment,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,My phone has a charging problem since
jabDkpQ,gVzPBK,4/22/2025 15:46,recK9QseqaimraXBE,8,,,Yes,Yes,Yes,No,Have a 24/7 customer care services,Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
PdDjkDx,gVz85l,4/22/2025 15:48,rectavMBbkg1rwXIl,10,,,Yes,Yes,No,No,,,,,,
MeDK74X,8YrbNl,4/22/2025 15:49,recu8gML0JT6Cd9ES,3,,,No,No,Yes,Yes,After payment you don't open ...but if not payed you closed automatic,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,Improve in your app
vGrjKyl,4YOlvb,4/22/2025 15:49,recHDnVDRlfvts5dQ,6,,,Yes,Yes,No,Yes,"Online service, taking century to reply to my simple text",Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Nome
XxrlzDL,Qq4NYg,4/22/2025 15:50,recvDdpWZLA2VCChR,10,,,Yes,No,No,Yes,Support center should work 24\7,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
zxNXL0q,AY9M4N,4/22/2025 15:50,rec7AnOdegQgCwyT6,8,,,Yes,Yes,Yes,No,Avoid delay while approving a grace period,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,None
Y5RDkx6,k4z8rZ,4/22/2025 15:50,recIZZtnG0LN1MpqF,9,,,Yes,Yes,Yes,Yes,You don't accept calls,,,,,
7RblMyZ,ljz8GB,4/22/2025 15:51,recAyJ8v8VJuecwtB,9,,,Yes,Yes,No,No,,,,,,
kd9av2R,OZEx27,4/22/2025 15:52,recjPY1G5I3fQxMOn,8,,,Yes,Yes,No,No,Non,No,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,No,No
